PropertyID,ListingTitle,PropertyType,ListingType,CreatedDate,LastScrapedDate,Country,Latitude,Longitude,State,City,Zipcode,Neighborhood,MetropolitanStatisticalArea,CurrencyNative,AverageDailyRateUSD,AverageDailyRateNative,AnnualRevenueLTMUSD,AnnualRevenueLTMNative,OccupancyRateLTM,NumberofReservationsLTM,CountReservationDaysLTM,CountAvailableDaysLTM,CountBlockedDaysLTM,Bedrooms,Bathrooms,MaxGuests,CalendarLastUpdated,ResponseRate,AirbnbSuperhost,HomeAwayPremierPartner,CancellationPolicy,SecurityDepositUSD,SecurityDepositNative,CleaningFeeUSD,CleaningFeeNative,ExtraPeopleFeeUSD,ExtraPeopleFeeNative,PublishedNightlyRateUSD,PublishedMonthlyRateUSD,PublishedWeeklyRateUSD,Check-inTime,CheckoutTime,MinimumStay,NumberofReviews,NumberofPhotos,InstantbookEnabled,OverallRating,AirbnbPropertyID,AirbnbHostID,AirbnbListingURL,AirbnbListingMainImageURL,HomeAwayPropertyID,HomeAwayPropertyManager,HomeAwayListingURL,HomeAwayListingMainImageURL,HouseAppartment
ab-5944989,Ritz-Carlton Club San Francisco 2BR,Condominium,Entire home/apt,07/04/2015,26/11/2018,United States,37.78884879,-122.4026549,California,San Francisco,94104,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",USD,1038.37,1038.37,121489,121489,0.665,47,117,59,130,2,3,6,19/11/2018,100,FALSE,FALSE,Super Strict 60 days,,,,,,,1175,32900,8225,After 4PM,11AM,1,6,5,FALSE,5,5944989,30857973,https://www.airbnb.com/rooms/5944989,https://a0.muscache.com/im/pictures/74023302/cc3cc638_original.jpg?aki_policy=x_large,883087vb,,https://www.homeaway.com/vacation-rental/p883087vb,https://imagesus-ssl.homeaway.com/mda01/3ed2c4fc-3e6f-4a54-9878-e537102f2888.1.10,Appartment
ab-6887081,Collingwood Hill,Condominium,Entire home/apt,16/06/2015,26/11/2018,United States,37.75544179,-122.435235,California,San Francisco,94114,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",USD,414.7,414.7,75060,75060,0.754,36,181,59,125,2,1,4,11/11/2018,100,FALSE,FALSE,Flexible - Free cancellation for 48 hours,3000,3000,150,150,,,600,12600,2673,After 5PM,12PM (noon),3,76,18,FALSE,4.9,6887081,18197171,https://www.airbnb.com/rooms/6887081,https://a0.muscache.com/im/pictures/103268796/44fed80b_original.jpg?aki_policy=x_large,756030vb,,https://www.homeaway.com/vacation-rental/p756030vb,https://odis.homeaway.com/odis/listing/04357bdd-4338-4e1a-ad06-dc1124289a90.c10.jpg,Appartment
ab-1101403,"2b/2b modern condo, super location",Condominium,Entire home/apt,22/04/2013,24/11/2018,United States,37.7681406,-122.4253676,California,San Francisco,94103,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",USD,443.08,443.08,43422,43422,0.641,29,98,55,61,2,2,5,16/07/2018,100,TRUE,FALSE,Moderate - Free cancellation for 48 hours,1000,1000,120,120,,,460,9520,2380,Flexible,,30,38,40,FALSE,5,1101403,2335495,https://www.airbnb.com/rooms/1101403,https://a0.muscache.com/im/pictures/27631746/1c9c2484_original.jpg?aki_policy=x_large,634042vb,,https://www.homeaway.com/vacation-rental/p634042vb,https://imagesus-ssl.homeaway.com/mda01/b0c351bb-b6d8-4f44-b1d3-3971fb32426b.1.10,Appartment
ab-2326228,Comfortable garden - deck - parking,House,Entire home/apt,01/02/2014,24/11/2018,United States,37.78000349,-122.454659,California,San Francisco,94118,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",USD,414.37,414.37,37708,37708,0.448,24,91,112,42,2,1,4,31/10/2018,100,TRUE,FALSE,Moderate - Free cancellation for 48 hours,700,700,100,100,30,30,320,4950,2050,After 2PM,11AM,30,29,13,FALSE,4.8,2326228,11883320,https://www.airbnb.com/rooms/2326228,https://a0.muscache.com/im/pictures/fd13daa3-b9ce-40ee-a16f-f6d1fa43de28.jpg?aki_policy=x_large,1385884vb,,https://www.homeaway.com/vacation-rental/p1385884vb,https://odis.homeaway.com/odis/listing/a9a765d2-a0dd-4d96-bee3-f0605d8c9279.c10.jpg,House
ab-15220043,"Lovely Home, Great Noe Valley/Castro Locale for 5",House,Entire home/apt,02/01/2017,23/11/2018,United States,37.75419728,-122.4402916,California,San Francisco,94114,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",USD,354.79,354.79,58895,58895,0.651,47,166,89,49,2,1,5,09/11/2018,100,FALSE,FALSE,Flexible - Free cancellation for 48 hours,290,290,100,100,,,425,7000,1750,4PM - 8PM,1PM,3,38,8,FALSE,5,15220043,64579077,https://www.airbnb.com/rooms/15220043,https://a0.muscache.com/im/pictures/fdd4c524-9435-4247-b194-28c8ad86b191.jpg?aki_policy=x_large,1242912vb,,https://www.homeaway.com/vacation-rental/p1242912vb,https://imagesus-ssl.homeaway.com/mda01/0debcea0-bf37-4f82-a34c-e796f4b47a85.1.10,House
ab-9972077,Quiet Luxury in Central San Francisco,Apartment,Entire home/apt,12/12/2015,25/11/2018,United States,37.76122501,-122.4509505,California,San Francisco,94117,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",USD,176.16,176.16,41749,41749,0.956,36,237,11,117,1,1,2,15/11/2018,100,TRUE,FALSE,Strict - Free cancellation for 48 hours,1000,1000,85,85,,,235,4200,1050,After 4PM,11AM,2,46,12,FALSE,5,9972077,47980391,https://www.airbnb.com/rooms/9972077,https://a0.muscache.com/im/pictures/6f659baa-ee04-4ce8-bc97-6801679daec2.jpg?aki_policy=x_large,1045118vb,,https://www.homeaway.com/vacation-rental/p1045118vb,https://imagesus-ssl.homeaway.com/mda01/70d48af7-c55e-42f3-ad72-f9f8eb118bda.1.10,Appartment
ab-23860006,Modern Home with Ocean Views,Apartment,Entire home/apt,19/03/2018,26/11/2018,United States,37.77988974,-122.5033254,California,San Francisco,94121,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",USD,450.95,450.95,74858,74858,0.779,36,166,47,32,2,1,5,18/09/2018,100,TRUE,FALSE,Strict - Free cancellation for 48 hours,,,100,100,50,50,528,10640,2660,After 4PM,11AM,1,23,12,FALSE,5,23860006,179240427,https://www.airbnb.com/rooms/23860006,https://a0.muscache.com/im/pictures/5d310d4a-c579-41c4-b01b-1047f0d8cb4e.jpg?aki_policy=x_large,4917332,,https://www.homeaway.com/vacation-rental/p4917332,https://imagesus-ssl.homeaway.com/mda01/7d8f2489-dc83-4619-917f-cb16224a6217.1.10,Appartment
ab-21310703,2BR San Francisco Condo by Golden Gate Park!,Condominium,Entire home/apt,14/10/2017,23/11/2018,United States,37.77262738,-122.4473879,California,San Francisco,94117,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",USD,449.49,449.49,64727,64727,0.436,36,144,186,5,2,2,4,16/11/2018,86,FALSE,TRUE,Strict - Free cancellation for 48 hours,,,334,334,,,642,8624,2156,After 3PM,11AM,5,3,24,FALSE,4.5,21310703,103104686,https://www.airbnb.com/rooms/21310703,https://a0.muscache.com/im/pictures/9273b4d1-4ce9-41ac-89fe-6cd07652d712.jpg?aki_policy=x_large,4708895,Evolve-Vacation-Rental-Network-639888w,https://www.homeaway.com/vacation-rental/p4708895,https://odis.homeaway.com/odis/listing/29eae151-9333-45be-aacc-74ebcfcbf689.c10.jpg,Appartment
ab-19949380,Gorgeous Home for 6 Near Golden Gate Park,House,Entire home/apt,17/07/2017,23/11/2018,United States,37.78092281,-122.4688075,California,San Francisco,94118,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",USD,281.07,281.07,57057,57057,0.871,43,203,30,132,2,2,6,16/11/2018,100,FALSE,FALSE,Moderate - Free cancellation for 48 hours,500,500,150,150,25,25,371,6188,1547,After 3PM,11AM,30,22,6,FALSE,4.5,19949380,141391572,https://www.airbnb.com/rooms/19949380,https://a0.muscache.com/im/pictures/ad49921d-ef9b-4b0c-82f4-0376df601915.jpg?aki_policy=x_large,4650618,,https://www.homeaway.com/vacation-rental/p4650618,https://imagesus-ssl.homeaway.com/mda01/c0b5184c-00ae-4f7d-a12e-4920e3d52fa4.1.10,House
ab-19182186,Classic Castro Victorian 5BDR Charmer,House,Entire home/apt,06/06/2017,24/11/2018,United States,37.76888247,-122.432797,California,San Francisco,94114,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",USD,641.48,641.48,35923,35923,0.903,21,56,6,30,5,3,10,12/11/2018,100,TRUE,FALSE,Strict - Free cancellation for 48 hours,,,200,200,,,799,16772,4193,3PM - 9PM,11AM,30,49,25,FALSE,4.8,19182186,134170466,https://www.airbnb.com/rooms/19182186,https://a0.muscache.com/im/pictures/717f0c2f-e973-4c9d-b699-ae8d6c612ce2.jpg?aki_policy=x_large,4607729,,https://www.homeaway.com/vacation-rental/p4607729,https://imagesus-ssl.homeaway.com/mda01/8e4a440a-a7bb-4f7f-bf65-17b453d14bf6.1.10,House
ab-11013337,Stylish 2BR Sunset House W/Parking,House,Entire home/apt,01/02/2016,25/11/2018,United States,37.74832572,-122.4823091,California,San Francisco,94116,Monash,"San Francisco-Oakland-Hayward, CA Metro Area",USD,348.73,348.73,38360,38360,0.406,33,110,161,33,2,2,6,21/11/2018,100,TRUE,FALSE,Strict - Free cancellation for 48 hours,,,200,200,,,350,4200,1050,After 3PM,11AM,30,141,23,FALSE,4.8,11013337,57150412,https://www.airbnb.com/rooms/11013337,https://a0.muscache.com/im/pictures/450d326f-5515-4c34-a29b-3bbee1dfefb9.jpg?aki_policy=x_large,4139258,,https://www.homeaway.com/vacation-rental/p4139258,https://odis.homeaway.com/odis/listing/fed83308-7b16-42db-829a-c9ae535f8735.c10.jpg,House
ab-2790637,"Modern Apt, Downtown/Bay Bridge View, Easy parking",House,Entire home/apt,12/04/2014,26/11/2018,United States,37.76083129,-122.4026361,California,San Francisco,94107,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",USD,235.78,235.78,41733,41733,0.77,25,177,53,104,1,1,3,24/11/2018,100,FALSE,FALSE,Strict - Free cancellation for 48 hours,200,200,150,150,75,75,364,4700,1330,After 4PM,11AM,5,98,32,FALSE,5,2790637,14273047,https://www.airbnb.com/rooms/2790637,https://a0.muscache.com/im/pictures/40345816/5e10314a_original.jpg?aki_policy=x_large,345558,,https://www.homeaway.com/vacation-rental/p345558,https://odis.homeaway.com/odis/listing/7889e6eb-9f74-4560-a481-db12e2a6c01d.c10.jpg,House
ab-14125,"2b/2b modern condo, super location",Apartment,Entire home/apt,22/04/2013,24/11/2018,United States,37.7681406,-122.4253676,California,San Francisco,94103,Oxley,"San Francisco-Oakland-Hayward, CA Metro Area",USD,260,260,43422,43422,0.641,29,98,55,61,1,2,5,16/07/2018,100,TRUE,FALSE,Moderate - Free cancellation for 48 hours,1000,1000,120,120,,,460,9520,2380,Flexible,,30,38,40,FALSE,5,1101403,2335495,https://www.airbnb.com/rooms/1101403,https://a0.muscache.com/im/pictures/27631746/1c9c2484_original.jpg?aki_policy=x_large,634042vb,,https://www.homeaway.com/vacation-rental/p634042vb,https://imagesus-ssl.homeaway.com/mda01/b0c351bb-b6d8-4f44-b1d3-3971fb32426b.1.10,Appartment
ab-95243,2BR San Francisco Condo by Golden Gate Park!,Condominium,Entire home/apt,14/10/2017,23/11/2018,United States,37.77262738,-122.4473879,California,San Francisco,94117,Kamabh,"San Francisco-Oakland-Hayward, CA Metro Area",USD,449.49,449.49,64727,64727,0.436,36,144,186,5,2,2,4,16/11/2018,86,FALSE,TRUE,Strict - Free cancellation for 48 hours,,,334,334,,,642,8624,2156,After 3PM,11AM,5,3,24,FALSE,4.5,21310703,103104686,https://www.airbnb.com/rooms/21310703,https://a0.muscache.com/im/pictures/9273b4d1-4ce9-41ac-89fe-6cd07652d712.jpg?aki_policy=x_large,4708895,Evolve-Vacation-Rental-Network-639888w,https://www.homeaway.com/vacation-rental/p4708895,https://odis.homeaway.com/odis/listing/29eae151-9333-45be-aacc-74ebcfcbf689.c10.jpg,Appartment
